"community","nodes","directed_edges_internal","relationship_proxy_edges_internal","mean_weak_degree","mean_local_clustering"
7,45,45,0,2.82222222222222,0.000217560217560218
8,32,44,13,2.75,0.193210724460724
1,28,37,9,2.60714285714286,0.151098901098901
13,19,25,6,2.78947368421053,0.0987468671679198
12,12,22,12,3.08333333333333,0.433838383838384
4,11,13,6,2.27272727272727,0.16969696969697
5,9,10,2,2.44444444444444,0.159259259259259
10,8,7,0,2,0.129464285714286
16,8,8,0,2.25,0.303571428571429
6,6,8,3,2.5,0.466666666666667
2,4,3,0,1.75,0
9,4,6,3,2.25,0.541666666666667
11,4,4,0,2.25,0.541666666666667
17,4,4,0,1.75,0
3,3,4,2,2.33333333333333,0.777777777777778
14,3,2,0,1.66666666666667,0
15,3,2,0,1.66666666666667,0
18,3,3,1,2.33333333333333,0.777777777777778
