"tail_anon_id","head_anon_id","n_transactions","reciprocated","common_neighbors","high_frequency","embedded","relationship_strength_score","relationship_strength_proxy"
1,2,6,TRUE,0,TRUE,FALSE,2,TRUE
1,63,1,FALSE,2,FALSE,TRUE,1,FALSE
1,108,1,FALSE,2,FALSE,TRUE,1,FALSE
1,124,1,FALSE,1,FALSE,TRUE,1,FALSE
1,132,1,FALSE,1,FALSE,TRUE,1,FALSE
2,1,1,TRUE,0,FALSE,FALSE,1,FALSE
3,133,2,FALSE,0,TRUE,FALSE,1,FALSE
4,63,1,FALSE,0,FALSE,FALSE,0,FALSE
4,105,1,FALSE,1,FALSE,TRUE,1,FALSE
5,11,1,FALSE,0,FALSE,FALSE,0,FALSE
6,159,1,FALSE,0,FALSE,FALSE,0,FALSE
6,63,1,FALSE,0,FALSE,FALSE,0,FALSE
7,83,2,TRUE,0,TRUE,FALSE,2,TRUE
8,55,1,TRUE,0,FALSE,FALSE,1,FALSE
8,63,1,FALSE,0,FALSE,FALSE,0,FALSE
9,160,1,FALSE,0,FALSE,FALSE,0,FALSE
10,27,1,TRUE,1,FALSE,TRUE,2,TRUE
10,161,1,FALSE,1,FALSE,TRUE,1,FALSE
11,63,1,FALSE,1,FALSE,TRUE,1,FALSE
11,87,1,TRUE,1,FALSE,TRUE,2,TRUE
11,162,1,FALSE,0,FALSE,FALSE,0,FALSE
12,163,1,FALSE,1,FALSE,TRUE,1,FALSE
12,153,1,TRUE,1,FALSE,TRUE,2,TRUE
13,83,1,FALSE,1,FALSE,TRUE,1,FALSE
14,63,1,FALSE,1,FALSE,TRUE,1,FALSE
14,100,1,TRUE,0,FALSE,FALSE,1,FALSE
14,160,2,FALSE,2,TRUE,TRUE,2,TRUE
15,160,1,FALSE,0,FALSE,FALSE,0,FALSE
16,63,1,FALSE,1,FALSE,TRUE,1,FALSE
16,131,1,FALSE,1,FALSE,TRUE,1,FALSE
17,20,1,FALSE,0,FALSE,FALSE,0,FALSE
18,160,2,FALSE,0,TRUE,FALSE,1,FALSE
19,63,1,FALSE,0,FALSE,FALSE,0,FALSE
19,164,1,FALSE,0,FALSE,FALSE,0,FALSE
20,165,1,FALSE,0,FALSE,FALSE,0,FALSE
20,63,1,FALSE,1,FALSE,TRUE,1,FALSE
21,166,1,FALSE,1,FALSE,TRUE,1,FALSE
21,63,1,FALSE,0,FALSE,FALSE,0,FALSE
22,63,1,FALSE,2,FALSE,TRUE,1,FALSE
22,94,2,TRUE,1,TRUE,TRUE,3,TRUE
22,160,1,FALSE,3,FALSE,TRUE,1,FALSE
23,63,3,FALSE,0,TRUE,FALSE,1,FALSE
24,83,2,FALSE,1,TRUE,TRUE,2,TRUE
25,22,2,FALSE,2,TRUE,TRUE,2,TRUE
25,63,3,FALSE,2,TRUE,TRUE,2,TRUE
25,125,1,FALSE,1,FALSE,TRUE,1,FALSE
25,160,1,FALSE,3,FALSE,TRUE,1,FALSE
26,167,1,FALSE,0,FALSE,FALSE,0,FALSE
26,63,1,FALSE,1,FALSE,TRUE,1,FALSE
27,10,1,TRUE,1,FALSE,TRUE,2,TRUE
27,63,1,FALSE,0,FALSE,FALSE,0,FALSE
27,67,1,TRUE,0,FALSE,FALSE,1,FALSE
27,161,1,FALSE,1,FALSE,TRUE,1,FALSE
28,80,2,FALSE,1,TRUE,TRUE,2,TRUE
28,160,1,FALSE,1,FALSE,TRUE,1,FALSE
29,11,1,FALSE,0,FALSE,FALSE,0,FALSE
30,63,1,FALSE,0,FALSE,FALSE,0,FALSE
31,96,1,FALSE,0,FALSE,FALSE,0,FALSE
32,132,1,FALSE,0,FALSE,FALSE,0,FALSE
33,78,1,FALSE,1,FALSE,TRUE,1,FALSE
34,66,2,FALSE,0,TRUE,FALSE,1,FALSE
35,132,1,FALSE,0,FALSE,FALSE,0,FALSE
