"metric","value"
"nodes",206
"directed_edges",289
"density",0.00684347620175231
"reciprocated_directed_edges",48
"mutual_dyads",24
"reciprocity_edge_share",0.166089965397924
"weak_components",1
"largest_weak_component_nodes",206
"isolates_weak_degree_zero",0
"mean_in_degree",1.40291262135922
"mean_out_degree",1.40291262135922
"max_in_degree",64
"max_out_degree",11
"degree_skew_total",9.84502378966152
"global_transitivity_undirected",0.0521739130434783
"frequency_cutoff_high_tie",2
"embedded_cutoff_common_neighbors",1
