"anon_node_id","in_degree","out_degree","total_weak_degree","date_joined_present"
1,1,5,5,TRUE
2,1,1,1,TRUE
3,0,1,1,TRUE
4,1,2,3,TRUE
5,0,1,1,TRUE
6,0,2,2,TRUE
7,1,1,1,TRUE
8,1,2,2,TRUE
9,0,1,1,TRUE
10,1,2,2,TRUE
11,3,3,5,TRUE
12,2,2,3,TRUE
13,1,1,2,TRUE
14,2,3,4,TRUE
15,0,1,1,TRUE
16,0,2,2,TRUE
17,0,1,1,TRUE
18,0,1,1,TRUE
19,0,2,2,TRUE
20,6,2,8,TRUE
21,2,2,4,TRUE
22,2,3,4,TRUE
23,0,1,1,TRUE
24,1,1,2,TRUE
25,2,4,6,TRUE
26,2,2,4,TRUE
27,2,4,4,TRUE
28,0,2,2,TRUE
29,0,1,1,TRUE
30,0,1,1,TRUE
31,0,1,1,TRUE
32,0,1,1,TRUE
33,2,1,3,TRUE
34,0,1,1,TRUE
35,0,1,1,TRUE
36,0,1,1,TRUE
37,1,2,2,TRUE
38,0,1,1,TRUE
39,0,1,1,TRUE
40,1,1,2,TRUE
41,0,1,1,TRUE
42,0,1,1,TRUE
43,2,5,6,TRUE
44,0,1,1,TRUE
45,0,1,1,TRUE
46,0,1,1,TRUE
47,0,1,1,TRUE
48,0,1,1,TRUE
49,0,1,1,TRUE
50,0,1,1,TRUE
51,0,1,1,TRUE
52,0,1,1,TRUE
53,2,4,5,TRUE
54,0,3,3,TRUE
55,1,1,1,TRUE
56,0,1,1,TRUE
57,0,1,1,TRUE
58,2,1,3,TRUE
59,1,2,3,TRUE
60,0,2,2,TRUE
61,1,4,5,TRUE
62,0,2,2,TRUE
63,64,2,66,TRUE
64,1,3,3,TRUE
65,0,1,1,TRUE
66,1,1,2,TRUE
67,1,1,1,TRUE
68,1,2,3,TRUE
69,1,1,2,TRUE
70,0,1,1,TRUE
71,0,1,1,TRUE
72,0,1,1,TRUE
73,0,2,2,TRUE
74,0,1,1,TRUE
75,0,1,1,TRUE
76,1,1,2,TRUE
77,0,1,1,TRUE
78,3,4,7,TRUE
79,0,1,1,TRUE
80,5,2,7,TRUE
81,0,2,2,TRUE
82,0,1,1,TRUE
83,5,2,6,TRUE
84,0,1,1,TRUE
85,1,1,1,TRUE
86,0,1,1,TRUE
87,2,4,5,TRUE
88,0,1,1,TRUE
89,1,1,2,TRUE
90,0,1,1,TRUE
91,0,1,1,TRUE
92,0,1,1,TRUE
93,0,2,2,TRUE
94,1,3,3,TRUE
95,1,3,3,TRUE
96,4,11,12,TRUE
97,0,1,1,TRUE
98,0,2,2,TRUE
99,0,1,1,TRUE
100,1,1,1,TRUE
101,0,1,1,TRUE
102,0,1,1,TRUE
103,0,1,1,TRUE
104,0,1,1,TRUE
105,2,1,2,TRUE
106,0,2,2,TRUE
107,0,1,1,TRUE
108,4,3,5,TRUE
109,1,5,5,TRUE
110,3,1,4,TRUE
111,0,1,1,TRUE
112,2,4,4,TRUE
113,7,2,9,TRUE
114,2,7,7,TRUE
115,1,1,2,TRUE
116,2,4,5,TRUE
117,3,2,3,TRUE
118,0,1,1,TRUE
119,1,1,1,TRUE
120,0,1,1,TRUE
121,2,2,3,TRUE
122,0,2,2,TRUE
123,0,1,1,TRUE
124,3,3,5,TRUE
125,3,1,3,TRUE
126,1,3,3,TRUE
127,0,1,1,TRUE
128,0,1,1,TRUE
129,2,1,3,TRUE
130,1,2,2,TRUE
131,2,3,5,TRUE
132,3,3,6,TRUE
133,2,2,4,TRUE
134,0,2,2,TRUE
135,0,1,1,TRUE
136,0,1,1,TRUE
137,0,1,1,TRUE
138,1,2,3,TRUE
139,1,1,2,TRUE
140,0,3,3,TRUE
141,1,1,2,TRUE
142,0,1,1,TRUE
143,0,1,1,TRUE
144,3,2,4,TRUE
145,0,1,1,TRUE
146,1,1,2,TRUE
147,0,2,2,TRUE
148,0,1,1,TRUE
149,1,1,2,TRUE
150,0,3,3,TRUE
151,0,2,2,TRUE
152,1,6,7,TRUE
153,7,9,13,TRUE
154,1,1,2,TRUE
155,0,2,2,TRUE
156,0,1,1,TRUE
157,1,2,3,TRUE
158,1,2,2,TRUE
159,2,0,2,TRUE
160,27,0,27,TRUE
161,2,0,2,TRUE
162,2,0,2,TRUE
163,2,0,2,TRUE
164,1,0,1,TRUE
165,1,0,1,TRUE
166,2,0,2,TRUE
167,1,0,1,TRUE
168,1,0,1,TRUE
169,1,0,1,TRUE
170,2,0,2,TRUE
171,1,0,1,TRUE
172,1,0,1,TRUE
173,1,0,1,TRUE
174,1,0,1,TRUE
175,1,0,1,TRUE
176,1,0,1,TRUE
177,1,0,1,TRUE
178,1,0,1,TRUE
179,1,0,1,TRUE
180,1,0,1,TRUE
181,1,0,1,TRUE
182,1,0,1,TRUE
183,2,0,2,TRUE
184,1,0,1,TRUE
185,1,0,1,TRUE
186,2,0,2,TRUE
187,2,0,2,TRUE
188,1,0,1,TRUE
189,1,0,1,TRUE
190,1,0,1,TRUE
191,1,0,1,TRUE
192,1,0,1,TRUE
193,1,0,1,TRUE
194,2,0,2,TRUE
195,2,0,2,TRUE
196,1,0,1,TRUE
197,1,0,1,TRUE
198,1,0,1,TRUE
199,1,0,1,TRUE
200,1,0,1,TRUE
201,1,0,1,TRUE
202,1,0,1,TRUE
203,1,0,1,TRUE
204,1,0,1,TRUE
205,1,0,1,TRUE
206,1,0,1,TRUE
